Id,RaffleTickets,Submitted,WonPrize
2,30,t,f
3,26,t,f
6,26,t,f
7,30,t,f
8,30,t,f
9,30,t,f
11,30,t,t
12,30,t,t
13,26,t,f
14,26,t,f
15,30,t,f
16,16,t,f
17,30,t,f
20,18,t,f
21,30,t,f
22,24,t,t
25,22,t,f
26,18,t,f
27,30,t,f
28,18,t,f
29,18,t,f
30,30,t,f
31,30,t,f
34,26,t,f
35,22,t,f
36,22,t,f
37,30,t,f
38,26,t,t
39,26,t,f
41,26,t,t
42,30,t,f
44,14,t,f
47,16,t,f
48,26,t,f
49,30,t,f
50,30,t,f
51,30,t,t
52,20,t,f
53,30,t,t
54,18,t,f
55,22,t,f
57,26,f,f
58,30,t,f
59,30,t,f
60,26,t,f
61,30,t,f
65,26,t,f
67,30,t,f
68,30,t,f
69,8,t,f
72,14,t,f
73,26,t,f
79,30,f,f
80,30,t,f
81,16,t,f
83,30,t,f
84,26,t,t
85,24,t,f
86,26,t,f
87,22,t,f
90,26,t,f
91,30,t,f
94,12,t,f
95,26,t,f
97,24,t,f
98,22,t,f
99,30,t,f
101,12,t,t
103,16,t,f
105,28,f,f
106,30,t,f
107,14,f,f
111,26,t,t
113,30,t,t
114,26,t,f
115,20,t,f
116,24,t,f
117,18,t,f
118,30,t,f
119,30,t,f
120,18,t,f
122,30,t,f
123,30,t,f
124,22,t,f
125,8,f,f
127,30,t,f
128,24,t,f
129,16,f,f
130,30,t,f
131,26,t,f
132,28,t,f
134,30,t,f
135,20,t,f
136,26,t,f
137,22,t,f
138,26,t,f
139,26,t,f
140,16,t,f
141,30,t,f
143,30,t,f
144,30,t,f
145,26,f,f
150,18,f,f
151,30,t,f
154,18,t,f
155,30,t,t
156,22,t,f
158,18,t,f
159,12,t,f
160,26,t,t
163,10,t,f
165,14,t,f
166,30,t,f
167,30,t,t
169,18,t,f
170,26,t,t
171,12,t,f
173,14,t,f
174,30,t,f
175,30,t,f
176,30,t,f
177,22,t,f
178,20,f,f
180,30,t,f
181,20,t,f
182,10,t,t
184,26,t,f
187,26,t,f
188,30,t,f
189,18,t,f
190,22,f,f
191,22,t,f
194,16,t,f
195,30,t,f
198,16,f,f
199,10,t,t
200,16,t,f
203,26,t,f
204,14,t,f
205,20,t,t
209,30,t,f
210,30,t,f
211,30,t,t
213,30,t,f
214,30,t,f
215,30,t,f
217,30,t,f
220,26,t,f
221,30,t,f
222,14,t,f
223,22,t,f
224,30,t,f
225,30,t,f
226,14,t,t
227,12,t,t
228,30,t,t
229,8,t,t
230,12,t,f
231,26,t,f
235,26,t,f
238,30,t,t
240,12,t,f
242,10,f,f
243,14,t,t
245,24,t,t
247,30,t,f
248,30,t,f
249,16,t,f
250,18,t,f
251,16,t,f
252,20,t,f
254,30,t,f
255,26,t,f
257,26,f,f
258,30,t,f
260,30,t,f
261,30,t,t
262,12,t,t
263,30,t,f
265,18,t,f
266,30,t,f
267,30,t,f
268,30,t,f
271,30,t,f
272,18,t,f
274,26,t,f
275,18,t,t
276,28,t,f
278,30,t,f
280,30,t,f
281,30,t,f
282,22,t,f
283,30,t,f
284,26,t,f
285,30,t,f
286,30,t,f
287,26,f,f
290,8,t,f
292,20,t,f
294,18,t,f
297,26,t,f
298,14,t,t
299,18,t,f
300,18,t,f
301,30,t,f
303,18,t,f
304,16,t,f
305,30,t,f
307,24,f,f
308,20,t,f
309,30,t,f
310,10,t,f
311,14,t,f
315,14,t,f
316,14,t,f
318,14,t,f
319,24,t,f
321,8,t,f
322,26,t,f
323,20,f,f
324,22,f,f
325,30,t,f
327,12,t,f
328,30,t,f
329,30,t,f
330,22,t,t
331,18,t,f
332,18,t,f
333,24,t,f
334,30,t,f
335,28,t,f
336,28,t,f
338,18,t,f
339,18,t,f
340,22,t,f
342,22,t,f
343,14,t,f
349,22,t,f
351,22,t,f
353,30,t,f
354,30,t,f
355,30,t,t
356,18,t,f
357,26,t,f
358,22,t,f
359,26,t,f
360,26,t,f
364,26,t,f
365,30,t,f
366,30,t,f
367,30,t,f
368,18,t,f
370,30,t,f
372,30,t,t
374,22,t,f
375,8,t,f
378,18,t,f
380,30,t,f
381,10,t,f
384,26,t,f
385,26,t,f
386,26,t,f
389,30,t,t
390,30,t,f
391,18,t,f
392,12,t,f
396,10,t,f
397,30,t,f
399,30,t,f
401,30,t,f
402,18,t,f
403,16,t,f
404,22,t,f
405,10,t,f
406,30,f,f
407,26,t,f
410,30,t,t
412,26,t,f
413,24,t,t
416,30,t,f
417,30,t,f
418,18,t,f
420,30,t,f
421,10,t,f
423,8,f,f
426,14,t,f
428,12,t,f
429,16,t,t
430,26,t,f
432,22,t,f
433,22,t,f
434,28,t,f
435,30,t,f
436,26,t,f
439,26,t,t
441,22,t,f
443,26,t,f
444,8,f,f
446,24,t,f
447,14,t,f
448,24,f,f
450,24,t,f
452,30,t,f
453,26,t,f
454,26,t,f
455,24,t,f
460,22,t,f
462,22,f,f
464,26,t,f
466,12,t,f
467,26,t,f
468,30,t,f
471,22,t,f
473,20,t,f
478,12,t,f
479,30,t,f
483,20,f,f
485,22,t,f
486,12,f,f
489,14,t,f
490,22,t,f
491,14,f,f
495,22,t,f
497,22,t,f
499,26,t,f
500,30,t,f
501,30,t,f
502,26,t,f
503,18,t,f
505,26,t,f
506,30,t,f
507,30,t,f
508,14,t,f
509,10,t,f
511,26,t,f
512,18,t,f
514,18,f,f
515,16,t,f
517,26,t,f
518,14,t,f
520,30,t,f
521,30,t,f
522,30,t,f
523,30,t,f
524,16,t,f
526,18,t,f
528,30,t,f
532,22,f,f
533,30,f,f
534,26,f,f
535,30,f,f
536,20,t,f
538,16,t,f
539,26,t,f
540,26,t,f
541,20,t,f
542,28,t,f
544,20,f,f
545,30,t,f
547,22,t,f
548,18,t,f
549,26,t,f
550,22,t,f
552,30,t,f
553,26,t,f
554,26,t,t
556,16,t,f
557,30,t,t
558,22,t,f
560,30,t,f
561,14,t,f
563,28,t,f
564,26,t,f
565,26,t,f
567,26,t,f
569,20,t,f
570,26,t,f
571,30,t,f
575,30,t,f
578,10,t,f
579,30,f,f
580,18,t,f
581,26,f,f
582,26,f,f
583,30,t,f
584,26,t,f
585,28,t,f
590,26,t,f
591,16,t,f
592,26,t,f
593,30,t,f
594,30,t,t
596,12,t,f
598,26,t,t
599,14,t,f
600,10,f,f
602,30,f,f
603,14,t,f
605,10,t,f
608,30,t,f
610,22,t,f
611,30,t,f
614,26,t,f
615,26,f,f
616,14,t,f
620,26,f,f
621,30,t,f
625,14,t,f
626,10,f,f
627,26,t,f
628,30,t,f
629,8,f,f
631,24,t,f
632,24,t,f
633,26,t,t
634,20,t,f
635,30,t,f
636,26,t,f
641,30,t,f
642,22,t,f
643,12,f,f
644,22,t,f
646,26,t,f
647,14,t,f
648,12,t,f
649,24,f,f
650,22,t,f
654,22,t,f
657,12,t,f
659,30,t,f
661,26,t,f
662,18,t,f
665,30,t,f
667,30,t,f
668,26,t,f
670,26,t,f
673,22,t,f
675,26,t,f
677,10,t,f
682,14,t,f
683,30,t,f
684,30,t,f
685,14,t,f
687,18,t,f
691,8,t,f
692,14,t,f
694,8,t,f
703,26,t,f
711,16,t,f
714,14,t,f
766,26,t,f
787,30,f,f
788,30,t,t
791,18,t,f
818,8,t,f
820,30,t,t
